budget,genres,revenue,release_date,vote_average
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",0.0,1996-09-18,6.8
30000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",254134910.0,1995-07-18,6.0
0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-11-08,6.4
11000000,"[{'id': 18, 'name': 'Drama'}]",39363635.0,1995-12-29,7.3
0,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0.0,1995-10-20,3.5
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-11-17,6.1
12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-07-19,6.9
0,"[{'id': 18, 'name': 'Drama'}]",676525.0,1995-12-15,6.7
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",0.0,1995-12-29,6.9
10000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",0.0,1995-10-06,6.6
19000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-12-29,6.3
18000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",122195920.0,1995-08-18,5.4
20000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",21284514.0,1995-05-20,6.7
10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",23574130.0,1995-10-06,6.5
33000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",327311859.0,1995-09-22,8.1
55000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",346079773.0,1995-06-14,6.7
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-05-05,5.9
6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",23341568.0,1995-07-19,8.1
0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",0.0,1994-11-22,6.3
15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6700000.0,1995-09-13,6.7
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",0.0,1994-01-01,7.7
0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",0.0,1995-09-29,5.2
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-05-19,6.1
0,[],0.0,1997-07-08,3.0
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17519169.0,1995-11-02,6.3
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1994-09-22,7.6
0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",0.0,1995-09-29,6.5
45000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",0.0,1995-07-14,5.9
20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0.0,1996-01-12,5.8
0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",106269971.0,1995-12-29,6.9
0,"[{'id': 35, 'name': 'Comedy'}]",0.0,1996-01-12,6.2
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0.0,1996-01-12,4.5
15000000,"[{'id': 35, 'name': 'Comedy'}]",0.0,1996-01-12,4.4
0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2409225.0,1996-01-12,2.8
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0.0,1995-10-22,5.4
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-02-08,6.0
3500000,"[{'id': 35, 'name': 'Comedy'}]",28215918.0,1995-04-26,7.0
19000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",25836616.0,1996-01-19,6.9
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",11534477.0,1995-11-03,4.1
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",718490.0,1995-10-06,7.0
0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",0.0,1995-03-22,6.6
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",19030691.0,1996-01-26,5.1
15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2042530.0,1996-01-26,3.9
20000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",5781885.0,1995-09-08,6.1
0,"[{'id': 99, 'name': 'Documentary'}]",0.0,1995-02-18,7.3
0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0.0,1995-11-15,6.1
44000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0.0,1996-02-02,5.5
0,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",0.0,1995-01-01,7.5
8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",529766.0,1995-12-01,6.7
900000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",0.0,1995-09-12,7.2
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",0.0,1996-01-26,4.5
0,[],0.0,1995-11-22,0.0
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-09-10,6.3
38000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",10300000.0,1996-02-02,6.3
16000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",0.0,1996-01-12,5.1
0,"[{'id': 35, 'name': 'Comedy'}]",32.0,1996-02-01,6.0
8169363,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",8175346.0,1995-11-22,6.1
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-09-14,6.7
47000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",12379402.0,1996-02-23,5.7
14000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",19800000.0,1995-10-26,4.5
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1996-02-09,6.6
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",150270147.0,1996-02-09,5.7
0,"[{'id': 35, 'name': 'Comedy'}]",0.0,1995-12-01,7.5
3000000,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-05-31,7.9
0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",0.0,1994-12-06,5.6
0,"[{'id': 99, 'name': 'Documentary'}]",0.0,1995-12-27,6.8
0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0.0,1996-02-16,6.0
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",560069.0,1996-02-21,6.8
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0.0,1996-02-16,3.3
18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",0.0,1996-02-23,5.3
12000000,"[{'id': 35, 'name': 'Comedy'}]",41205099.0,1996-02-16,6.5
24000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",182016617.0,1995-05-28,7.3
0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",0.0,1994-11-07,5.1
0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",34327391.0,1996-02-16,6.5
0,"[{'id': 99, 'name': 'Documentary'}]",0.0,1995-12-08,7.0
0,"[{'id': 80, 'name': 'Crime'}]",0.0,1995-05-20,0.0
72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",210000000.0,1995-05-24,7.7
1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",28262574.0,1976-02-07,8.1
7500000,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",32392047.0,1995-01-30,6.5
35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0.0,1996-02-23,5.8
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-09-13,7.5
13365000,"[{'id': 35, 'name': 'Comedy'}]",0.0,1995-01-31,7.0
0,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",1.0,1995-06-08,7.3
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",0.0,1995-01-20,6.9
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0.0,1996-03-08,5.4
25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6278139.0,1995-09-29,5.1
0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0.0,1996-03-22,5.2
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1992-12-06,7.0
40000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",70100000.0,1992-06-30,5.4
0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0.0,1994-07-14,7.9
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-09-21,6.8
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",14702438.0,1996-03-22,6.3
17000000,"[{'id': 14, 'name': 'Fantasy'}]",0.0,1994-10-26,4.4
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1994-09-30,4.3
0,[],0.0,1995-01-01,0.0
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0.0,1996-02-09,7.0
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",0.0,1995-01-01,5.6
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",0.0,1995-11-22,5.4
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",9851610.0,1995-10-13,5.1
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-08-16,5.5
0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",0.0,1995-08-01,0.0
0,"[{'id': 35, 'name': 'Comedy'}]",0.0,1996-03-01,5.6
0,"[{'id': 99, 'name': 'Documentary'}]",0.0,1995-09-08,6.5
0,"[{'id': 35, 'name': 'Comedy'}]",209935.0,1995-09-15,3.8
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-08-23,7.2
0,[],0.0,1995-08-01,0.0
60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1996-03-01,5.9
31000000,"[{'id': 35, 'name': 'Comedy'}]",185260553.0,1996-03-08,6.7
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-10-12,7.0
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-08-09,6.3
19000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",141407024.0,1995-04-07,6.5
0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0.0,1995-08-25,5.0
0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",0.0,1995-04-21,7.2
4000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",851545.0,1995-07-21,6.0
0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0.0,1994-08-05,6.5
52000000,"[{'id': 18, 'name': 'Drama'}]",355237933.0,1995-06-30,7.3
28000000,"[{'id': 12, 'name': 'Adventure'}]",31596911.0,1995-04-13,6.5
0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",0.0,1995-01-10,6.4
100000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",336529144.0,1995-06-16,5.2
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1967-05-24,7.3
0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",0.0,1995-05-24,6.4
2000000,"[{'id': 35, 'name': 'Comedy'}]",1275000.0,1995-09-15,6.8
11000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",178104.0,1995-06-08,5.9
50000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",287928194.0,1995-05-26,6.0
25000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",13071518.0,1995-09-15,6.8
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",152022101.0,1995-06-09,5.0
53000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",157387195.0,1995-05-12,7.0
0,"[{'id': 99, 'name': 'Documentary'}]",3174695.0,1994-09-10,7.6
7000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",25405445.0,1995-08-25,6.8
27000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",16140822.0,1995-09-15,6.3
90000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",366101666.0,1995-05-19,6.9
0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",0.0,1995-10-27,5.6
0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",0.0,1995-10-12,0.0
55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",127600435.0,1995-07-07,5.9
0,"[{'id': 12, 'name': 'Adventure'}]",0.0,1995-07-19,5.5
20000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",7563728.0,1995-09-14,6.2
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-08-18,6.5
25000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",19075720.0,1995-05-26,5.5
90000000,"[{'id': 878, 'name': 'Science Fiction'}]",113493481.0,1995-06-30,5.4
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",17014653.0,1995-04-12,4.0
1500000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7412216.0,1995-07-28,6.8
500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1148752.0,1995-01-20,7.2
0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",0.0,1995-08-25,5.9
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",0.0,1993-05-20,7.0
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",15453274.0,1995-05-26,5.5
6000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2122561.0,1995-10-20,6.8
15000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",66000000.0,1995-06-30,5.2
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1995-09-29,5.6
2,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",1.0,1995-09-28,6.4
0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",0.0,1994-09-13,5.9
22000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",110627965.0,1995-07-28,5.6
0,"[{'id': 35, 'name': 'Comedy'}]",69660733.0,1995-07-12,5.5
150000,"[{'id': 35, 'name': 'Comedy'}]",472370.0,1995-06-09,5.8
8,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",16.0,1995-09-01,6.4
0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",0.0,1995-11-17,10.0
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-06-23,7.2
50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",10382407.0,1995-10-13,5.5
0,"[{'id': 99, 'name': 'Documentary'}]",0.0,1995-08-25,5.3
45000000,"[{'id': 18, 'name': 'Drama'}]",20350754.0,1995-09-22,4.9
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",8349430.0,1995-06-09,7.2
0,"[{'id': 35, 'name': 'Comedy'}]",50892160.0,1995-08-04,5.7
35000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",113374103.0,1995-07-07,5.5
0,"[{'id': 18, 'name': 'Drama'}]",0.0,1995-09-15,6.6
42000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",7959291.0,1995-10-13,6.8
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0.0,1964-02-19,7.6
14000000,"[{'id': 53, 'name': 'Thriller'}]",5780000.0,1995-09-08,4.6
0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",7025496.0,1995-10-27,6.1
0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",339889.0,1995-11-02,6.5
0,"[{'id': 35, 'name': 'Comedy'}]",47774193.0,1995-09-07,6.3
60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",104324083.0,1995-07-13,5.6
0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0.0,1995-09-15,6.4
0,"[{'id': 99, 'name': 'Documentary'}]",0.0,1995-08-11,6.0
20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",50012507.0,1995-08-11,6.5
175000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",264218220.0,1995-07-28,5.9
