budget,genres,revenue,release_date,vote_average,month,year
10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",23574130.0,1995-10-06,6.5,10,1995
33000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",327311859.0,1995-09-22,8.1,9,1995
55000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",346079773.0,1995-06-14,6.7,6,1995
6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",23341568.0,1995-07-19,8.1,7,1995
15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6700000.0,1995-09-13,6.7,9,1995
3500000,"[{'id': 35, 'name': 'Comedy'}]",28215918.0,1995-04-26,7.0,4,1995
19000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",25836616.0,1996-01-19,6.9,1,1996
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",11534477.0,1995-11-03,4.1,11,1995
15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2042530.0,1996-01-26,3.9,1,1996
20000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",5781885.0,1995-09-08,6.1,9,1995
8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",529766.0,1995-12-01,6.7,12,1995
38000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",10300000.0,1996-02-02,6.3,2,1996
8169363,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",8175346.0,1995-11-22,6.1,11,1995
47000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",12379402.0,1996-02-23,5.7,2,1996
14000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",19800000.0,1995-10-26,4.5,10,1995
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",150270147.0,1996-02-09,5.7,2,1996
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",560069.0,1996-02-21,6.8,2,1996
12000000,"[{'id': 35, 'name': 'Comedy'}]",41205099.0,1996-02-16,6.5,2,1996
24000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",182016617.0,1995-05-28,7.3,5,1995
72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",210000000.0,1995-05-24,7.7,5,1995
1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",28262574.0,1976-02-07,8.1,2,1976
7500000,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",32392047.0,1995-01-30,6.5,1,1995
25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6278139.0,1995-09-29,5.1,9,1995
40000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",70100000.0,1992-06-30,5.4,6,1992
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",14702438.0,1996-03-22,6.3,3,1996
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",9851610.0,1995-10-13,5.1,10,1995
31000000,"[{'id': 35, 'name': 'Comedy'}]",185260553.0,1996-03-08,6.7,3,1996
19000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",141407024.0,1995-04-07,6.5,4,1995
4000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",851545.0,1995-07-21,6.0,7,1995
52000000,"[{'id': 18, 'name': 'Drama'}]",355237933.0,1995-06-30,7.3,6,1995
28000000,"[{'id': 12, 'name': 'Adventure'}]",31596911.0,1995-04-13,6.5,4,1995
100000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",336529144.0,1995-06-16,5.2,6,1995
2000000,"[{'id': 35, 'name': 'Comedy'}]",1275000.0,1995-09-15,6.8,9,1995
11000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",178104.0,1995-06-08,5.9,6,1995
50000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",287928194.0,1995-05-26,6.0,5,1995
25000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",13071518.0,1995-09-15,6.8,9,1995
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",152022101.0,1995-06-09,5.0,6,1995
53000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",157387195.0,1995-05-12,7.0,5,1995
7000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",25405445.0,1995-08-25,6.8,8,1995
27000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",16140822.0,1995-09-15,6.3,9,1995
90000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",366101666.0,1995-05-19,6.9,5,1995
55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",127600435.0,1995-07-07,5.9,7,1995
20000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",7563728.0,1995-09-14,6.2,9,1995
25000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",19075720.0,1995-05-26,5.5,5,1995
90000000,"[{'id': 878, 'name': 'Science Fiction'}]",113493481.0,1995-06-30,5.4,6,1995
1500000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7412216.0,1995-07-28,6.8,7,1995
500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1148752.0,1995-01-20,7.2,1,1995
6000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",2122561.0,1995-10-20,6.8,10,1995
15000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",66000000.0,1995-06-30,5.2,6,1995
2,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",1.0,1995-09-28,6.4,9,1995
22000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",110627965.0,1995-07-28,5.6,7,1995
150000,"[{'id': 35, 'name': 'Comedy'}]",472370.0,1995-06-09,5.8,6,1995
8,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",16.0,1995-09-01,6.4,9,1995
50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",10382407.0,1995-10-13,5.5,10,1995
45000000,"[{'id': 18, 'name': 'Drama'}]",20350754.0,1995-09-22,4.9,9,1995
7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",8349430.0,1995-06-09,7.2,6,1995
35000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",113374103.0,1995-07-07,5.5,7,1995
42000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",7959291.0,1995-10-13,6.8,10,1995
14000000,"[{'id': 53, 'name': 'Thriller'}]",5780000.0,1995-09-08,4.6,9,1995
60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",104324083.0,1995-07-13,5.6,7,1995
20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",50012507.0,1995-08-11,6.5,8,1995
175000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",264218220.0,1995-07-28,5.9,7,1995
2800000,"[{'id': 18, 'name': 'Drama'}]",2616503.0,1994-05-01,6.7,5,1994
2500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5535405.0,1995-01-27,7.7,1,1995
10000000,"[{'id': 35, 'name': 'Comedy'}]",26488734.0,1995-02-10,6.2,2,1995
21000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",23450000.0,1995-02-03,6.3,2,1995
27000,"[{'id': 35, 'name': 'Comedy'}]",3151130.0,1994-09-13,7.4,9,1994
25000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",22200000.0,1994-10-01,6.3,10,1994
55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",214015089.0,1994-12-09,5.9,12,1994
16000000,"[{'id': 35, 'name': 'Comedy'}]",247275374.0,1994-12-16,6.5,12,1994
18000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",5887457.0,1994-09-27,7.3,9,1994
15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",12201255.0,1995-03-03,5.0,3,1995
700000,"[{'id': 99, 'name': 'Documentary'}]",7830611.0,1994-09-12,7.7,9,1994
5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",3049135.0,1994-09-02,6.9,9,1994
10500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",26325256.0,1995-01-06,6.0,1,1995
60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",223664608.0,1994-11-11,7.2,11,1994
14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2474000.0,1995-03-31,5.2,3,1995
60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",37000000.0,1994-11-22,4.7,11,1994
11000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",775398007.0,1977-05-25,8.1,5,1977
2000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",21665468.0,1992-04-16,6.6,4,1992
30000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",160638883.0,1994-12-16,7.2,12,1994
17000000,"[{'id': 18, 'name': 'Drama'}]",7603766.0,1995-03-17,6.4,3,1995
45000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",112006296.0,1994-11-04,6.1,11,1994
6,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.0,1995-01-27,5.6,1,1995
31000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",106683817.0,1994-12-23,6.1,12,1994
34000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",50282766.0,1994-08-25,6.9,8,1994
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",189859560.0,1995-03-10,6.4,3,1995
16000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",45284974.0,1994-09-14,8.2,9,1994
11000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2832826.0,1995-05-12,6.6,5,1995
8000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",213928762.0,1994-09-10,8.3,9,1994
400000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",152322.0,1992-02-01,6.1,2,1992
32000000,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",18552460.0,1995-02-09,6.2,2,1995
22000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",12400000.0,1995-03-01,6.4,3,1995
15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",11300653.0,1994-12-23,5.3,12,1994
35000000,"[{'id': 16, 'name': 'Animation'}]",9771658.0,1994-11-18,6.5,11,1994
45000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",170362582.0,1994-10-07,5.5,10,1994
55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",196567262.0,1994-10-27,6.8,10,1994
22000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",189833357.0,1994-11-10,6.3,11,1994
25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",28341469.0,1994-09-23,8.5,9,1994
25000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",4064495.0,1995-03-31,5.5,3,1995
38000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",120000000.0,1994-11-17,6.4,11,1994
6000000,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",12000000.0,1995-05-24,5.4,5,1995
11000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",10032765.0,1993-12-17,7.5,12,1993
30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",24048000.0,1995-08-04,5.4,8,1995
17000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",182057016.0,1995-04-21,6.5,4,1995
3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",15119639.0,1994-09-29,6.9,9,1994
15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",107217396.0,1994-02-04,6.4,2,1994
5000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1862805.0,1992-09-02,7.0,9,1992
62000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",215887717.0,1994-08-03,6.4,8,1994
45000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",117615211.0,1994-07-20,6.4,7,1994
15000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",94000000.0,1994-05-11,7.3,5,1994
46000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",341631208.0,1994-05-26,5.0,5,1994
55000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",677945399.0,1994-07-06,8.2,7,1994
6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",254700832.0,1994-03-09,6.6,3,1994
45000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",61947267.0,1994-06-29,5.3,6,1994
45000000,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",788241776.0,1994-06-23,8.0,6,1994
35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",4858139.0,1993-12-01,6.0,12,1993
14000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",18090181.0,1994-10-13,6.4,10,1994
23000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",351583407.0,1994-07-29,6.6,7,1994
30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",51132598.0,1994-03-18,6.4,3,1994
11500000,"[{'id': 18, 'name': 'Drama'}]",20079850.0,1994-02-18,6.5,2,1994
8000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2000000.0,1993-07-08,6.4,7,1993
30000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",350448145.0,1994-06-09,6.8,6,1994
27000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",101646581.0,1994-09-15,5.5,9,1994
115000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",378882411.0,1994-07-14,6.8,7,1994
63000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",25052000.0,1994-06-24,6.5,6,1994
10000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",29392418.0,1994-11-23,6.0,11,1994
7000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",20851521.0,1994-09-28,5.9,9,1994
35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",99423521.0,1994-12-22,4.1,12,1994
26000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",36800000.0,1994-11-29,4.5,11,1994
8000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8946600.0,1994-12-12,7.1,12,1994
34000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",32255440.0,1993-09-17,7.0,9,1993
17080000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",21011500.0,1994-01-07,5.1,1,1994
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",119208989.0,1994-05-24,5.5,5,1994
13000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",428868.0,1993-06-09,5.8,6,1993
22000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",17287898.0,1993-09-14,7.4,9,1993
13000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2570145.0,1993-09-03,3.7,9,1993
30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",36516012.0,1993-11-10,7.7,11,1993
70000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",255000211.0,1993-05-28,6.1,5,1993
40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",19726050.0,1994-08-19,5.4,8,1994
6900000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7993039.0,1993-09-24,7.4,9,1993
57000000,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",159055768.0,1993-10-08,6.4,10,1993
30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11146270.0,1993-10-01,5.7,10,1993
42000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",270248367.0,1993-06-30,6.6,6,1993
20000000,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",153698625.0,1993-07-16,6.0,7,1993
44000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",368875760.0,1993-08-06,7.2,8,1993
35000000,"[{'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",18635620.0,1993-12-10,5.9,12,1993
